"seqnames","start","end","width","strand","peak_id","log2FoldChange","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",1591406,1591971,566,"*","chr1_1591406_1591971",-1.22785858171877,0.000344441588934656,"Intron (ENST00000763257.1/ENST00000763257.1, intron 1 of 1)",1,1598012,1600135,2124,2,"643988","ENST00000422725.4",8164,"ENSG00000228594","FNDC10","fibronectin type III domain containing 10"
"chr1",2255657,2256538,882,"*","chr1_2255657_2256538",-1.4056795018054,8.0709258243348e-08,"Intron (ENST00000704337.1/6497, intron 1 of 3)",1,2247996,2303376,55381,1,"6497","ENST00000478223.2",7661,"ENSG00000157933","SKI","SKI proto-oncogene"
"chr1",3827685,3828536,852,"*","chr1_3827685_3828536",-1.23927771369344,0.000200914974246679,"Promoter (2-3kb)",1,3829692,3831224,1533,2,"9731","ENST00000495701.1",2688,"ENSG00000116198","CEP104","centrosomal protein 104"
"chr1",6037215,6037961,747,"*","chr1_6037215_6037961",-1.2452307590134,0.00287033045017,"Promoter (1-2kb)",1,6035917,6041762,5846,1,"8514","ENST00000459822.1",1298,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",6415183,6416855,1673,"*","chr1_6415183_6416855",-1.68541022127791,1.99995521787252e-07,"3' UTR",1,6413000,6419903,6904,2,"54626","ENST00000377836.8",3048,"ENSG00000069812","HES2","hes family bHLH transcription factor 2"
"chr1",6753265,6754102,838,"*","chr1_6753265_6754102",-1.12497923398942,0.000226619572752691,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",28592,NA,"LINC01672","long intergenic non-protein coding RNA 1672"
"chr1",7295909,7296415,507,"*","chr1_7295909_7296415",-1.56148504033672,0.000230954374093448,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7312886,7370270,57385,1,"23261","ENST00000849779.1",-16471,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",7608634,7609468,835,"*","chr1_7608634_7609468",-1.48960782602497,0.00463858742393627,"Intron (ENST00000303635.12/23261, intron 6 of 22)",1,7664285,7767830,103546,1,"23261","ENST00000700419.1",-54817,"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1"
"chr1",8167272,8168457,1186,"*","chr1_8167272_8168457",-1.04191856224486,0.00104616385115654,"Promoter (1-2kb)",1,8165834,8215210,49377,1,"102724539","ENST00000777793.1",1438,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
"chr1",8194126,8195090,965,"*","chr1_8194126_8195090",-1.25652820930906,0.000204813454126746,"Promoter (2-3kb)",1,8191693,8215210,23518,1,"102724539","ENST00000777800.1",2433,NA,"LINC01714","long intergenic non-protein coding RNA 1714"
